@RELATION Features3

@ATTRIBUTE varx REAL
@ATTRIBUTE stdx REAL
@ATTRIBUTE skewx REAL
@ATTRIBUTE minx REAL
@ATTRIBUTE maxx REAL
@ATTRIBUTE avgx REAL
@ATTRIBUTE vary REAL
@ATTRIBUTE stdy REAL
@ATTRIBUTE skewy REAL
@ATTRIBUTE miny REAL
@ATTRIBUTE maxy REAL
@ATTRIBUTE avgy REAL
@ATTRIBUTE varz REAL
@ATTRIBUTE stdz REAL
@ATTRIBUTE skewz REAL
@ATTRIBUTE minz REAL
@ATTRIBUTE maxz REAL
@ATTRIBUTE avgz REAL
@ATTRIBUTE class {1,2,3,4}

@DATA
0.136715132,0.369750094,0.543383226,-0.184814,0.906006,0.297390444,0.182933277,0.427706999,0.428599655,-1.233643,0.258789,-0.524115722,0.041116845,0.202772891,0.658195627,0.335693,1.200928,0.666449667,1
0.132368047,0.363824198,0.499657994,-0.186768,0.876465,0.270608294,0.15240605,0.390392175,0.590463503,-1.059326,0.246094,-0.470631294,0.024516623,0.156577851,-0.144556183,0.380615,0.827881,0.627427118,1
0.109071054,0.330259072,0.619807294,-0.133545,0.844971,0.239908833,0.179818612,0.424050247,0.421734641,-1.502197,0.35498,-0.522691444,0.027488827,0.165797547,-0.344231165,0.330811,0.968506,0.650838333,1
0.097144392,0.311679951,0.938422647,-0.118408,0.813965,0.20092781,0.140000111,0.374165887,0.936697573,-0.953613,0.41333,-0.395624143,0.029324687,0.171244525,-0.828396811,0.415527,0.92334,0.751988048,1
0.113977606,0.337605696,0.504434887,-0.140869,0.821533,0.249077667,0.156036658,0.395014757,0.805099696,-0.807617,0.438721,-0.323974611,0.021366599,0.146173183,-0.814486277,0.454346,0.905762,0.734551444,1
0.063838774,0.252663362,0.316881243,-0.015381,0.674561,0.257904125,0.155428924,0.394244752,0.686147624,-0.94165,0.331787,-0.370071375,0.004409109,0.06640112,0.131694687,0.638428,0.858154,0.733184875,1
0.068879074,0.262448232,0.762603842,-0.068115,0.666992,0.175511421,0.154570544,0.393154606,1.183203713,-0.89917,0.512695,-0.414576526,0.009672596,0.098349358,-0.152333246,0.582275,0.921875,0.750886579,1
0.091149573,0.301909876,0.165657953,-0.044922,0.699707,0.284576375,0.169497621,0.411700887,0.720514551,-1.119141,0.581543,-0.395889375,0.012545746,0.112007793,-0.124627633,0.498535,0.841309,0.686126625,1
0.074161185,0.272325514,0.620724829,-0.052246,0.684326,0.22526855,0.165793849,0.407177908,0.858525202,-0.98877,0.395996,-0.4544556,0.005947096,0.077117415,-0.359297355,0.564697,0.86377,0.7169799,1
0.078668572,0.280479183,0.685505743,-0.062012,0.708252,0.227583455,0.167699825,0.409511691,0.874272444,-1.170166,0.4021,-0.489768227,0.015736401,0.125444812,1.940882656,0.492432,1.159424,0.698109045,1
0.078247611,0.279727745,0.398640099,-0.05957,0.701904,0.261176167,0.1760298,0.419559054,0.692913914,-0.918701,0.350586,-0.389621278,0.0077423,0.087990339,-0.038268501,0.5896,0.914062,0.728203611,1
0.070142329,0.264843972,0.395986492,-0.118408,0.65332,0.229207333,0.160254195,0.400317618,0.869620363,-1.014893,0.428711,-0.472371389,0.006329008,0.079555065,-0.820458901,0.505615,0.78833,0.675279333,1
0.08905358,0.298418465,-0.159984122,-0.057861,0.748535,0.3628418,0.134949145,0.36735425,0.664886634,-0.75708,0.278564,-0.3575684,0.010052083,0.100260077,0.401032181,0.521973,0.869873,0.660758533,1
0.081704292,0.285839626,0.356585014,-0.072998,0.695557,0.265516611,0.256504795,0.506463024,-0.155952763,-1.772705,0.297607,-0.519314222,0.013049529,0.114234536,2.027891558,0.5896,1.109863,0.715806778,1
0.084165447,0.290112818,0.275667463,-0.050049,0.707031,0.28125,0.163055276,0.403801035,0.753822198,-0.759766,0.491211,-0.332763647,0.008165092,0.0903609,0.299064373,0.551758,0.850098,0.694249706,1
1.11E-06,0.00105417,0.217994957,0.001953,0.004639,0.0032718,8.88E-06,0.002980533,0.157644043,-0.689209,-0.68042,-0.6849608,7.95E-06,0.002819452,-0.394707246,0.710449,0.718018,0.7148926,1
0.087497691,0.295800086,0.25481773,-0.044922,0.726318,0.29714975,0.229904598,0.479483678,0.276228715,-1.372314,0.378906,-0.45901475,0.014571731,0.120713426,1.676983195,0.554443,1.039062,0.672332625,1
0.090703371,0.301170004,0.062884231,-0.038818,0.782959,0.347045813,0.236805142,0.486626286,0.387678305,-1.301025,0.490234,-0.44424425,0.003674439,0.060617149,0.3729844,0.521484,0.719971,0.607635375,1
