varx, stdx, skewx, minx, maxx , avgx,vary,stdy,skewy,miny,maxy,avgy,varz,stdz,skewz,minz,maxz,avgz,CLASS 
0.091055072,0.30175333,-0.580327716,-0.789307,-0.027832,-0.308289377,0.004625929,0.068014186,1.191921081,0.01123,0.324463,0.128246727,0.02544343,0.159509968,-0.356366041,0.619141,1.176025,0.891769597,1
0.073487747,0.271086236,-1.236261116,-0.756104,0.093994,-0.157129564,0.009090688,0.095345097,0.672916541,-0.10791,0.362793,0.094232064,0.014967501,0.122341738,-1.105169294,0.660156,1.137695,0.949306385,1
0.128621926,0.358638991,0.323891513,-0.81543,0.669922,-0.378073705,0.012544367,0.112001638,0.299132032,-0.182129,0.34668,0.071145051,0.037620446,0.193959908,0.663576866,0.52002,1.617676,0.844573218,1
0.127924299,0.357665065,-0.027798718,-0.868652,0.371582,-0.368905846,0.018389528,0.135607995,-0.349401509,-0.148193,0.414307,0.164159538,0.047001666,0.216798677,0.038416518,0.493408,1.233154,0.823883859,1
0.131393461,0.362482359,-0.371707605,-0.859375,0.371582,-0.308718885,0.012808484,0.113174571,0.245406343,-0.095947,0.362061,0.120323744,0.04423702,0.210325985,-0.39503524,0.528564,1.233154,0.862439256,1
0.079723071,0.282352741,-0.688401971,-0.786621,0.343994,-0.229479744,0.0165321,0.128577213,0.300782021,-0.253418,0.462891,0.140853462,0.075100698,0.274045066,4.168301813,0.532715,2.850586,0.926203833,1
0.131130594,0.362119585,-0.207282094,-0.856934,0.388672,-0.349315167,0.023969533,0.154820971,0.519424042,-0.144287,0.685303,0.163511667,0.052495133,0.229118163,-0.119957525,0.479248,1.396973,0.822372064,1
0.001621428,0.040266955,-2.880759746,-0.215332,0.068848,-0.030628584,0.040923535,0.202295662,3.148195455,0.054688,1.045166,0.188590766,0.030907165,0.175804338,-3.922962,0.023438,1.035156,0.947830013,2
0.012248711,0.110673895,0.302226006,-0.28125,0.112793,-0.137288462,0.187465208,0.432972526,-0.547808077,-0.124756,1.071289,0.574303269,0.40144735,0.633598729,0.087397346,-0.47998,1.087646,0.261828321,2
0.010003847,0.100019233,0.128431073,-0.243896,0.020508,-0.119478628,0.185396234,0.430576629,-0.200897538,-0.041016,1.008789,0.522442154,0.378484493,0.615210934,-0.152732274,-0.387451,1.036865,0.383623167,2
0.007837415,0.088529174,-0.289573223,-0.208496,0.027832,-0.078175128,0.161066575,0.401331004,0.169689891,0.005371,1.095703,0.482637821,0.271511713,0.521067858,-0.751794886,-0.368652,1.015137,0.577727526,2
0.00520271,0.072129815,1.09363866,-0.220947,0.000244,-0.152475192,0.093021145,0.30499368,-1.40092674,0.094238,1.055908,0.782038744,0.262718466,0.512560695,0.772394133,-0.324463,1.012695,0.124054667,2
0.005263413,0.072549386,-0.792559801,-0.190186,0.061279,-0.038746372,0.13490038,0.367287871,0.796747271,-0.17627,1.055908,0.271290295,0.061643831,0.248281757,-1.559054515,0.077637,1.025146,0.851061667,2
0.005667761,0.075284536,1.277022973,-0.209717,0.074707,-0.132449385,0.114367495,0.338182636,-1.338109367,-0.067383,1.08252,0.775456359,0.229151109,0.478697305,0.671746417,-0.255127,1.028809,0.211131603,2
0.007485055,0.086516213,0.584815902,-0.198975,0.05542,-0.092598141,0.158590664,0.398234434,-0.761112708,-0.00415,1.062988,0.680203987,0.326230607,0.571166006,0.46758367,-0.310791,1.015869,0.221598269,2
