varx, stdx, skewx, minx, maxx , avgx,vary,stdy,skewy,miny,maxy,avgy,varz,stdz,skewz,minz,maxz,avgz,CLASS 
0.088302961,0.297158141,-0.949378439,-0.756348,0.200439,-0.115633955,0.039775825,0.199438774,0.957333622,0.125,0.804199,0.331787182,0.049313428,0.222066268,-0.499968142,0.465332,1.24585,0.852450227,1
0.102643528,0.320380286,-0.915771015,-0.800293,0.182129,-0.122469773,0.021856569,0.147839674,1.318021367,0.084229,0.733398,0.285444773,0.047220797,0.217303467,-0.474564055,0.523193,1.251221,0.889936909,1
0.122240556,0.349629169,-0.329887546,-0.783203,0.158203,-0.244427941,0.022904818,0.151343378,1.12061057,0.05957,0.687744,0.297980824,0.04942903,0.222326403,0.005896713,0.542236,1.195801,0.832792353,1
0.111268054,0.333568664,-0.644030642,-0.759033,0.206543,-0.165306524,0.02999993,0.173204878,1.112884649,-0.009033,0.692139,0.253743524,0.042287773,0.20563991,-0.437326602,0.562744,1.154053,0.877650714,1
0.111122017,0.333349691,-0.431653461,-0.830322,0.169678,-0.277896316,0.044308201,0.210495132,1.265562587,0.022217,0.895752,0.314491632,0.061782393,0.248560642,-0.037148204,0.490967,1.205566,0.819747211,1
0.081806233,0.286017888,-0.932193221,-0.806152,0.083252,-0.186686167,0.035087055,0.187315389,1.357399607,-0.09668,0.72583,0.241099083,0.048578316,0.220404891,-0.460513635,0.481201,1.311279,0.898803708,1
0.06852453,0.261771904,-0.963462851,-0.719727,0.216064,-0.134829391,0.072403084,0.269078212,0.905377444,-0.054932,0.973389,0.294730826,0.051482155,0.226896793,-0.543566525,0.422119,1.270264,0.850819435,1
0.092635705,0.304361142,-0.377684095,-0.772217,0.11377,-0.241997611,0.035745769,0.189065515,1.044821375,0.169678,0.794922,0.377387111,0.052313354,0.228721126,-0.020089947,0.499023,1.153809,0.795152389,1
0.081570611,0.285605691,-1.438414104,-0.838379,0.203369,-0.076968912,0.026465693,0.1626828,1.724033441,-0.089111,0.822266,0.275814324,0.029304686,0.171186116,-1.0189844,0.550049,1.162354,0.899378176,1
0.097254799,0.311857017,-0.813360897,-0.789062,0.203369,-0.154529333,0.042003507,0.204947571,1.574522221,0.110352,1.005859,0.380196762,0.044292069,0.210456811,-0.550060484,0.480957,1.15918,0.848295667,1
0.101129105,0.318008027,-0.67037636,-0.794922,0.147705,-0.177079682,0.026221038,0.161929114,1.17355863,0.209961,0.782227,0.400024455,0.04507766,0.212315002,-0.445139727,0.459229,1.147705,0.817737955,1
0.103139149,0.321152844,-0.471264256,-0.772461,0.171143,-0.1782715,0.024804457,0.157494308,1.118379725,0.270264,0.82666,0.47707515,0.041597743,0.203955247,-0.270452995,0.46875,1.151123,0.7811645,1
0.106094878,0.325722087,-0.634702,-0.787109,0.138672,-0.187174429,0.029533435,0.171852946,0.684057093,0.146729,0.762451,0.386788571,0.04826511,0.219693219,-0.358200375,0.488281,1.091553,0.797281905,1
