x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0.112793,0.371094,0.914551,0.029053,0.099609,0.990479,0.046875,0.600098,1.058838,0.086426,0.21875,0.976807,0,0.133301,0.996094,-0.039062,0.162109,1.001465,0.028809,0.183105,0.982422,0.015137,0.169678,0.959717,0.058594,0.273682,0.960449,0.095215,0.327881,0.958252,0.055908,0.275391,0.971436,0.078613,0.422363,0.905273,0.078125,0.356934,0.934326,0.101074,0.218262,0.981689,0.050537,0.184326,0.981689,0.014404,0.210693,0.949951,0.053223,0.39624,0.925293,0.122314,0.173828,0.976318,0.095703,0.371338,0.9646,0.15332,0.076416,1.103271,0.084473,0.114746,0.993896
0.110596,0.387695,0.915771,0.00415,0.144531,1.081787,-0.156494,0.687744,0.798584,0.086914,0.213623,0.973145,0.022461,0.141602,1.019043,-0.053955,0.148926,0.989258,0.022705,0.225586,0.979492,0.022949,0.186523,1.053955,0.049072,0.284912,0.963135,0.112061,0.33374,0.950439,0.081299,0.344482,0.949951,0.07666,0.427246,0.90625,0.077393,0.375,0.934814,0.136475,0.272217,1.03833,0.050293,0.201904,0.98291,0.031006,0.28418,0.996582,0.062988,0.385742,0.929688,0.125977,0.180176,0.973877,0.062988,0.345459,0.906006,0.193848,0.298096,1.061768,0.077637,0.123047,0.993896
0.158447,0.400391,0.925293,0.051025,0.371582,1.135742,-0.360352,0.415039,0.614746,0.092041,0.270752,1.032715,-0.000488,0.13916,0.975342,-0.046387,0.13208,0.987793,0.054199,0.253174,0.977539,-0.026367,0.794922,1.012451,0.039062,0.288086,0.96167,0.10498,0.269287,0.951172,0.072998,0.282471,0.946533,0.080566,0.432129,0.90332,0.116943,0.355713,0.99707,0.148438,0.805908,0.917236,0.04541,0.189941,1.003906,0.105469,0.47876,1.054932,0.062256,0.386963,0.944824,0.132324,0.187012,0.996094,0.091309,0.372559,0.954102,0.123047,0.84082,0.789062,0.080811,0.128662,0.999512
0.200439,0.560303,1.006348,0.020508,0.520264,1.050537,-0.54126,0.307861,0.575928,0.13916,0.261719,1.061523,0.169678,0.335205,1.205566,-0.075195,0.145752,1.050049,0.068604,0.172852,0.971191,-0.188477,0.668457,0.73291,0.090332,0.299561,0.958008,0.203369,0.380127,0.956055,0.124023,0.397217,1.063232,0.10791,0.449951,0.94873,0.092773,0.529297,0.950684,-0.151855,0.570801,0.732666,0.078125,0.44458,1.019531,-0.126221,0.535645,0.947021,0.090332,0.389404,0.93335,0.136963,0.275879,1.011963,0.068604,0.372559,0.966064,-0.169434,0.851562,0.586182,0.079102,0.133545,0.996338
0.149658,0.694092,0.939453,-0.280518,0.733398,0.635254,-0.729492,0.250732,0.606201,0.058105,0.495605,1.056396,0.009766,0.724365,0.948975,0.07373,0.43042,1.144531,0.216064,0.53833,0.962158,-0.337646,0.746338,0.499023,0.190918,0.615967,1.033936,0.083252,0.535889,1.02417,0.014648,0.731201,0.918701,0.144043,0.80957,0.894043,0.011963,0.629395,0.946777,-0.368652,0.719238,0.520752,-0.150391,1.060791,0.665771,-0.248291,0.659912,0.726807,0.078857,0.430176,0.95752,0.070068,0.4021,1.036865,0.047852,0.468994,0.993164,-0.389648,0.656982,0.501953,0.145996,0.129639,1.12085
-0.026611,0.804199,0.780273,-0.442139,0.369385,0.576172,-0.783203,0.275879,0.566895,-0.162842,0.596436,0.8125,-0.308594,0.895752,0.609619,-0.061035,0.708252,0.991455,0.091309,0.973389,0.849609,-0.519287,0.437256,0.530762,0.061768,0.822266,0.913818,0.078369,0.783447,0.890381,-0.14209,0.782227,0.723877,0.006836,0.759766,0.809082,-0.221924,0.762451,0.629395,-0.452393,0.666016,0.456055,-0.182373,0.906494,0.509766,-0.479492,0.581543,0.515137,0.08667,0.644775,0.87207,-0.071045,0.920898,0.762695,-0.011475,0.533936,0.981689,-0.545166,0.468506,0.500488,0.100098,0.355225,1.092285
-0.302246,0.70752,0.61084,-0.68042,0.084229,0.526855,-0.748535,0.318604,0.542236,-0.366455,0.692139,0.606934,-0.434326,0.471191,0.518555,-0.255127,0.585205,0.776855,-0.05835,0.767578,0.751709,-0.620361,0.259033,0.54248,-0.224365,0.751709,0.774414,-0.165283,1.005859,0.66748,-0.300781,0.734863,0.627686,-0.235352,0.82666,0.584717,-0.353027,0.703613,0.523682,-0.613037,0.50708,0.42749,-0.297363,0.643799,0.525635,-0.602539,0.549561,0.428955,0.030029,0.801758,0.793701,-0.236084,0.797119,0.568848,-0.105225,0.62793,0.760498,-0.680176,0.342285,0.537109,-0.145264,0.913086,0.73877
-0.524658,0.429688,0.474609,-0.800293,0.29126,0.523193,-0.641357,0.316406,0.630859,-0.412354,0.508301,0.594238,-0.599854,0.249756,0.573486,-0.43335,0.72583,0.481201,-0.352051,0.6875,0.583984,-0.7229,0.369385,0.560303,-0.417236,0.397461,0.550049,-0.311035,0.625,0.544678,-0.440186,0.558838,0.476807,-0.447754,0.67041,0.46875,-0.509033,0.54126,0.498535,-0.724365,0.406738,0.450928,-0.617432,0.449707,0.495117,-0.69043,0.424316,0.399902,-0.098145,0.80835,0.711182,-0.507568,0.497314,0.525146,-0.356689,0.638428,0.700439,-0.791504,0.30127,0.512207,-0.326416,0.618652,0.591797
-0.617432,0.324463,0.558105,-0.617676,0.255615,0.619385,-0.624268,0.122803,0.573975,-0.621094,0.245605,0.572021,-0.773438,0.241943,0.50293,-0.564453,0.208252,0.591553,-0.510742,0.606689,0.422119,-0.772217,0.346924,0.528564,-0.494873,0.2146,0.554443,-0.520508,0.323975,0.520996,-0.615723,0.277588,0.530273,-0.516357,0.395752,0.476318,-0.696289,0.298096,0.503174,-0.788574,0.498291,0.403809,-0.724609,0.229004,0.429199,-0.753906,0.378174,0.42041,-0.417969,0.737549,0.559082,-0.700195,0.389893,0.493896,-0.52124,0.294922,0.612061,-0.835938,0.311523,0.489502,-0.523193,0.592773,0.459229
-0.756348,0.25415,0.486328,-0.635986,0.324463,0.60498,-0.254395,0.05957,0.87793,-0.759033,0.304932,0.562744,-0.830322,0.359131,0.490967,-0.748779,0.20166,0.574219,-0.583252,0.243408,0.532715,-0.626953,0.331299,0.530029,-0.728516,0.141357,0.600586,-0.725098,0.291016,0.565918,-0.760986,0.410645,0.500488,-0.7146,0.300781,0.493164,-0.758057,0.336426,0.488281,-0.671875,0.499756,0.445557,-0.775879,0.408203,0.441406,-0.875488,0.45166,0.402588,-0.254883,0.542236,0.466797,-0.76416,0.322021,0.437988,-0.739746,0.192871,0.527588,-0.712891,0.225342,0.519287,-0.630127,0.350342,0.541748
-0.639404,0.288086,0.5625,-0.500488,0.172852,0.645264,0.001221,0.235596,1.089111,-0.756104,0.245117,0.564209,-0.775635,0.312988,0.502441,-0.806152,0.212891,0.527588,-0.719727,0.44458,0.501221,-0.492188,0.314941,0.587158,-0.838379,0.229004,0.567139,-0.789062,0.378174,0.524658,-0.794922,0.409912,0.459229,-0.772461,0.40625,0.488525,-0.787109,0.33667,0.496826,-0.58252,0.406006,0.593262,-0.672119,0.414795,0.511719,-0.638428,0.388428,0.425049,-0.568848,0.449219,0.561768,-0.807617,0.348389,0.448486,-0.786621,0.221191,0.550781,-0.599121,0.256348,0.584717,-0.770996,0.320068,0.487305
-0.53418,0.211914,0.465332,-0.087646,0.49707,1.12793,0.132812,0.29834,1.101318,-0.679932,0.138672,0.64917,-0.702881,0.296631,0.588379,-0.664307,0.301514,0.593262,-0.561768,0.509766,0.494873,-0.30835,0.599365,0.67749,-0.686279,0.187988,0.610596,-0.668945,0.45166,0.480957,-0.629639,0.473145,0.529541,-0.58667,0.438721,0.530762,-0.622559,0.346191,0.493408,-0.362305,0.368408,0.709717,-0.643555,0.411133,0.500244,-0.608887,0.52417,0.501221,-0.74292,0.560059,0.408691,-0.757812,0.358887,0.504883,-0.787842,0.194336,0.515381,-0.520752,0.531738,0.666016,-0.816162,0.346191,0.459717
-0.282471,0.160645,0.767578,0.182129,0.410645,1.025391,0.158203,0.353516,1.195801,-0.59375,0.147705,0.693848,-0.655273,0.154785,0.606445,-0.588867,-0.09668,0.616455,-0.545898,0.474854,0.507324,-0.161621,0.352783,0.956787,-0.631104,0.271484,0.585693,-0.547119,0.192871,0.673828,-0.520508,0.209961,0.622559,-0.571533,0.270264,0.658203,-0.505127,0.471191,0.612793,-0.292236,0.318359,0.962402,-0.595459,0.267822,0.764893,-0.336426,0.520752,0.503906,-0.602051,0.508789,0.496582,-0.653076,0.371582,0.544678,-0.625732,0.224854,0.519531,-0.136963,0.302002,0.776123,-0.754639,0.367676,0.450195
-0.022705,0.424561,1.24585,0.111328,0.267578,1.251221,0.078857,0.194092,1,-0.276367,0.148193,0.923096,-0.250977,0.022217,0.756592,-0.243408,0.176758,0.78833,-0.240723,-0.054932,0.762207,-0.017334,0.207031,1.153809,-0.375732,0.206787,0.634521,-0.350098,0.170166,0.86499,-0.464844,0.446533,0.786377,-0.418945,0.505615,0.736328,-0.344482,0.230957,0.766602,-0.042969,0.313965,0.977783,-0.37085,0.200439,0.846924,-0.271973,0.674072,0.874512,-0.546387,0.605225,0.545654,-0.531982,0.688232,0.500732,-0.493896,0.298096,0.723145,-0.054932,0.126221,1.134521,-0.678223,0.342041,0.494873
