x,y,z
0.052246,-0.659180,0.724854
0.056152,-0.686279,0.724854
0.030273,-0.630127,0.784180
-0.184814,-1.021729,0.837402
0.095947,-0.991943,0.508301
0.718750,-0.321777,0.488770
0.671143,0.123535,0.461182
0.906006,0.258789,0.444824
0.890137,-0.057861,0.335693
0.824707,0.202637,0.599365
0.749023,-0.148438,0.502197
0.399170,-0.937256,0.489502
0.093750,-0.829102,0.680908
0.025879,-0.645264,0.781250
-0.070068,-1.233643,1.200928
0.084717,-0.585449,0.886963
-0.007568,-0.627441,0.775146
0.017578,-0.643555,0.769775
x,y,z
-0.004150,-0.611084,0.772461
-0.003174,-0.653564,0.827881
-0.186768,-1.059326,0.662842
0.140625,-0.944092,0.530518
0.673828,-0.239746,0.484619
0.778076,0.061279,0.396729
0.774414,0.246094,0.488770
0.876465,0.211670,0.446045
0.765625,0.091309,0.483154
0.582764,-0.746826,0.380615
0.225586,-0.530518,0.667236
0.160400,-0.899414,0.577393
0.018066,-0.604248,0.791992
-0.061768,-0.548584,0.768555
-0.043701,-0.539551,0.822266
-0.052490,-0.632080,0.771484
-0.043457,-0.602051,0.793701
x,y,z
-0.055664,-0.608643,0.784180
-0.133545,-0.520996,0.968506
-0.054932,-1.502197,0.440186
0.281982,-0.787109,0.362549
0.644775,-0.381348,0.520020
0.664795,0.288086,0.516846
0.844971,0.199951,0.633789
0.774902,0.354980,0.588135
0.626465,-0.470947,0.330811
0.545410,-0.853027,0.526367
0.172852,-0.643555,0.765137
-0.039551,-0.694824,0.771240
0.023438,-0.626953,0.702637
0.040771,-0.592529,0.778809
-0.001709,-0.669922,0.751953
-0.007812,-0.625732,0.748535
-0.005859,-0.637451,0.760742
-0.002930,-0.636230,0.764648
x,y,z
-0.010742,-0.622559,0.758057
-0.009521,-0.623291,0.766113
-0.006592,-0.592529,0.850342
-0.118408,-0.938721,0.824707
0.114014,-0.953613,0.550049
0.596436,-0.367676,0.513916
0.682617,0.233154,0.531250
0.794678,0.353271,0.415527
0.813965,0.413330,0.549805
0.685791,0.224365,0.418213
0.422363,-0.575928,0.743652
0.302246,-0.662109,0.846924
0.046143,-0.632812,0.923340
-0.022461,-0.393799,0.922852
0.012207,-0.354980,0.921875
-0.026367,-0.439209,0.883301
0.000000,-0.492432,0.877441
-0.004883,-0.475342,0.870361
-0.002441,-0.463135,0.886719
-0.020752,-0.456055,0.875000
-0.028809,-0.488037,0.862305
x,y,z
-0.131836,-0.373047,0.868164
-0.140869,-0.807617,0.905762
0.341797,-0.795410,0.735596
0.571045,-0.003174,0.721924
0.623291,0.318359,0.488525
0.765869,0.382812,0.480713
0.821533,0.438721,0.454346
0.780029,0.197510,0.556885
0.588135,-0.424805,0.590332
0.191650,-0.623047,0.796631
0.206055,-0.485107,0.760254
0.006348,-0.676758,0.794678
-0.003174,-0.538574,0.862061
-0.032959,-0.288574,0.838623
-0.031250,-0.556152,0.848633
-0.043457,-0.529053,0.845947
-0.003174,-0.537109,0.840332
-0.025635,-0.530518,0.832520
x,y,z
0.105225,-0.941650,0.669922
0.442139,-0.524902,0.640137
0.502197,-0.206543,0.638428
0.497803,0.331787,0.687988
0.674561,0.306885,0.700928
0.605957,0.316895,0.658447
0.573975,-0.051025,0.675049
0.442871,-0.484619,0.752930
0.129150,-0.690918,0.858154
0.107422,-0.751221,0.747803
0.002930,-0.628174,0.792969
0.050293,-0.182373,0.716797
-0.002930,-0.650879,0.791260
0.015869,-0.598389,0.798340
-0.015381,-0.581299,0.799316
-0.005615,-0.584717,0.802490
x,y,z
-0.018066,-0.603516,0.802246
-0.031982,-0.524414,0.841064
-0.068115,-0.573242,0.903076
-0.033447,-0.899170,0.789551
0.266113,-0.730225,0.618164
0.501953,-0.331543,0.618652
0.530273,0.169678,0.607422
0.666992,0.219727,0.688965
0.666016,0.300537,0.676514
0.513672,0.512695,0.582275
0.291992,-0.339844,0.668701
0.195068,-0.685791,0.921875
0.019043,-0.677979,0.795654
-0.055176,-0.609863,0.803711
0.000732,-0.591553,0.851562
-0.014648,-0.701416,0.739014
-0.012451,-0.609619,0.793457
-0.036865,-0.596191,0.783936
-0.046387,-0.605225,0.781006
x,y,z
0.010010,-1.119141,0.605713
0.323242,-0.693848,0.498535
0.565430,-0.344482,0.507812
0.647705,-0.204834,0.628174
0.667480,0.581543,0.674316
0.699707,0.210938,0.637695
0.675537,0.164062,0.581787
0.590576,-0.325195,0.625244
0.280762,-0.363770,0.597168
0.290039,-0.740479,0.827881
-0.036377,-0.790527,0.804199
-0.044922,-0.386719,0.841309
-0.038574,-0.510498,0.789795
-0.038818,-0.612061,0.782959
-0.023438,-0.586914,0.792480
-0.015137,-0.612305,0.782959
x,y,z
-0.052246,-0.638672,0.863770
-0.025635,-0.988770,0.813232
0.216553,-0.757324,0.662109
0.521240,-0.272705,0.604492
0.516846,0.156006,0.653320
0.602051,0.395996,0.772217
0.672852,0.216797,0.687988
0.645752,0.177246,0.592529
0.684326,0.063232,0.564697
0.423828,-0.446777,0.727051
0.141357,-0.885498,0.614990
0.051758,-0.792236,0.799316
0.017334,-0.721436,0.739990
0.068359,-0.683350,0.727539
0.033447,-0.668701,0.739502
-0.005371,-0.637207,0.759521
-0.010986,-0.649902,0.752686
0.003662,-0.654053,0.753662
-0.000244,-0.649658,0.752686
0.000488,-0.652100,0.758301
x,y,z
-0.010254,-0.688232,0.682861
0.062256,-1.170166,0.588379
0.433105,-0.577881,0.492432
0.622803,0.000488,0.581299
0.574219,0.192871,0.665527
0.704590,0.349854,0.575195
0.708252,0.402100,0.643066
0.653076,0.012451,0.588867
0.602051,-0.350586,0.618896
0.386963,-0.443604,0.653809
0.111084,-0.926758,0.692139
0.071533,-0.882324,0.695068
-0.062012,-0.826416,1.159424
0.013916,-0.689453,0.702637
0.010010,-0.630615,0.790771
0.005859,-0.612305,0.761475
0.017578,-0.644043,0.756104
0.011719,-0.653076,0.742188
0.018799,-0.648193,0.745361
0.015625,-0.655273,0.748047
0.026367,-0.670410,0.735596
0.029297,-0.663330,0.739258
x,y,z
0.030273,-0.670410,0.762451
-0.059570,-0.679199,0.767578
0.019043,-0.918701,0.841064
0.347900,-0.587891,0.759277
0.472900,-0.130371,0.677246
0.593018,0.232422,0.612061
0.686279,0.311768,0.626221
0.701904,0.350586,0.589600
0.651123,0.290771,0.603271
0.597412,-0.167725,0.606689
0.393066,-0.229736,0.791748
0.181152,-0.702393,0.797852
-0.016357,-0.742920,0.914062
0.035889,-0.809814,0.749756
0.037842,-0.579346,0.769531
0.005859,-0.672363,0.736084
0.011475,-0.654297,0.744385
0.011963,-0.653564,0.758789
x,y,z
0.021240,-0.650879,0.739258
0.018066,-0.651855,0.757080
-0.118408,-0.745361,0.717041
0.043701,-1.014893,0.697021
0.334961,-0.531738,0.537109
0.508301,-0.208984,0.622070
0.544434,0.240967,0.683105
0.653320,0.123779,0.680176
0.645020,0.428711,0.667236
0.599854,-0.086670,0.614990
0.448730,-0.512207,0.534668
0.321289,-0.946045,0.505615
0.126709,-0.752441,0.684326
0.002197,-0.774902,0.709961
-0.021973,-0.351807,0.788330
0.017090,-0.725342,0.754639
0.001221,-0.675049,0.726807
-0.020020,-0.667969,0.735596
x,y,z
0.356934,-0.757080,0.602295
0.601318,-0.411133,0.521973
0.638428,0.142822,0.548828
0.692139,0.112549,0.588379
0.748535,0.278564,0.595459
0.648682,0.264893,0.574707
0.697754,-0.180176,0.560791
0.569824,-0.401855,0.600342
0.286621,-0.542480,0.754883
0.226318,-0.683350,0.773438
-0.045166,-0.663086,0.869873
-0.057861,-0.479980,0.725342
0.056396,-0.714844,0.718994
0.019531,-0.648682,0.748779
0.003174,-0.679688,0.727295
x,y,z
-0.015625,-0.651367,0.748291
-0.039307,-0.763672,0.749268
0.055420,-0.939453,0.756104
0.298584,-0.812988,0.648926
0.533936,-0.221924,0.589600
0.641846,0.189453,0.597412
0.679932,0.188721,0.690918
0.695557,0.297607,0.618408
0.685791,0.267578,0.590820
0.553467,-0.263916,0.634766
0.369873,-0.865234,0.771973
0.277344,-0.583984,0.769287
0.076904,-0.712402,0.769287
-0.072998,-1.772705,1.109863
-0.003662,-0.629395,0.703125
0.024170,-0.704834,0.713867
0.001221,-0.681885,0.708252
0.016846,-0.687256,0.714355
x,y,z
0.338135,-0.580811,0.626709
0.546875,-0.155762,0.649902
0.638672,0.139648,0.630859
0.707031,0.106445,0.573242
0.698486,0.362793,0.630371
0.676514,0.491211,0.551758
0.562500,0.089844,0.598633
0.347656,-0.601562,0.655029
0.219727,-0.613525,0.841309
0.141602,-0.642090,0.808105
-0.016846,-0.533203,0.850098
-0.050049,-0.287109,0.813232
-0.002686,-0.759766,0.663574
-0.000244,-0.662354,0.733887
-0.015869,-0.669189,0.721191
0.001221,-0.669189,0.734619
-0.011475,-0.672363,0.719727
x,y,z
0.001953,-0.686035,0.713135
0.002686,-0.683105,0.717529
0.002686,-0.686035,0.715332
0.004395,-0.689209,0.710449
0.004639,-0.680420,0.718018
x,y,z
0.123047,-0.897949,0.665527
0.414062,-0.750244,0.564941
0.531006,-0.111084,0.569580
0.660889,0.131104,0.608398
0.726318,0.195801,0.564453
0.722412,0.378906,0.567627
0.695557,0.256592,0.554443
0.505615,-0.363037,0.664795
0.329590,-0.446777,0.715332
0.077393,-0.706055,0.826416
-0.044922,-0.637939,0.764404
-0.035156,-1.372314,1.039062
0.011719,-0.782959,0.695557
0.018311,-0.743652,0.657959
0.006104,-0.747803,0.651855
0.012451,-0.746826,0.646973
x,y,z
0.033447,-1.301025,0.690918
0.290283,-0.772461,0.573730
0.577393,-0.204346,0.535400
0.660400,0.124512,0.563232
0.710938,0.086182,0.620605
0.782959,0.248291,0.588867
0.693359,0.490234,0.570068
0.675781,0.041504,0.521484
0.554199,-0.601318,0.577881
0.357910,-0.717285,0.527100
0.169922,-0.721680,0.719971
-0.038818,-0.662109,0.703857
0.025635,-0.903564,0.591309
0.012695,-0.703369,0.647461
0.025146,-0.750488,0.656250
0.021484,-0.760986,0.634033
x,y,z
-0.151611,-0.866211,0.664551
0.041992,-1.120850,0.612305
0.445068,-0.412598,0.646729
0.574463,0.068604,0.629395
0.660889,0.261475,0.589355
0.687744,0.359619,0.601562
0.607910,0.416504,0.618408
0.568115,-0.155518,0.518311
0.384521,-1.142822,0.617676
