x,y,z
0.309082,-0.706055,0.605469
0.330811,-0.749512,0.666748
0.671875,-0.630127,0.854492
0.816650,-0.247803,0.541504
0.445801,-0.388428,0.558350
-0.130615,-0.633057,0.733887
-0.224609,-0.407227,0.905762
-0.073486,-0.250244,0.944580
-0.031006,-0.346191,0.876465
-0.045898,-0.356934,0.927979
-0.204102,-0.523438,1.015381
-0.147705,-0.439453,0.933594
0.447754,-0.406982,0.510498
0.543945,-0.406250,0.561768
0.682617,-0.332275,0.590332
0.507812,-0.653809,0.769287
0.448486,-0.695557,0.763672
0.219727,-0.655518,0.657715
0.204346,-0.707031,0.675049
0.212891,-0.736816,0.648682
x,y,z
-0.044189,-0.462402,0.892090
-0.209473,-0.644531,0.873779
-0.061035,-0.468994,0.805908
-0.069336,-0.524414,0.889893
-0.113770,-0.593262,0.940918
-0.271729,-0.620361,0.666016
-0.106201,-0.579834,0.687988
0.519531,-0.665771,0.730957
0.604248,-0.178955,0.543457
0.569092,-0.610840,0.784668
0.507568,-0.652588,0.811768
0.253174,-0.647217,0.591797
0.284912,-0.695068,0.691162
0.261230,-0.700928,0.661377
x,y,z
0.402832,-0.638184,0.822998
0.654785,-0.497070,0.758301
0.907227,-0.119141,0.614502
0.638428,-0.258301,0.357910
-0.001953,-0.436768,0.580078
-0.280518,-0.501953,0.923584
-0.125977,-0.527344,0.908936
-0.136963,-0.397949,0.941162
-0.227539,-0.378418,0.926758
-0.168945,-0.596924,0.947266
0.367188,-0.473877,0.739990
0.588623,-0.198730,0.459229
0.573242,-0.317871,0.642578
0.598877,-0.576904,0.895996
0.574707,-0.565186,0.793213
0.328613,-0.554688,0.638916
x,y,z
0.287109,-0.635010,0.695557
0.291016,-0.616455,0.695801
0.369873,-0.629150,0.788086
0.732910,-0.555176,1.016113
0.802002,-0.266846,0.597656
0.365234,-0.520996,0.551270
0.090576,-0.439941,0.691406
-0.229980,-0.392090,0.856689
-0.106201,-0.462402,0.875244
-0.132568,-0.467285,0.917236
-0.287109,-0.384033,1.062256
-0.020264,-0.533936,0.743652
0.374023,-0.350342,0.520996
0.782715,-0.051758,0.532715
0.663574,-0.630127,0.794189
0.493652,-0.641846,0.952637
0.291016,-0.622314,0.676514
0.246094,-0.627441,0.664795
0.259766,-0.667236,0.713379
0.273438,-0.641113,0.700439
x,y,z
0.822021,-0.338135,0.659668
0.373535,-0.489258,0.553223
-0.120117,-0.466064,0.787109
-0.139160,-0.651611,0.801758
-0.110596,-0.448242,0.898438
-0.091309,-0.404053,0.937744
-0.123047,-0.462891,0.885498
-0.119385,-0.680664,0.903564
0.326660,-0.431152,0.451660
0.359131,-0.449707,0.582031
0.785156,-0.448730,0.623779
0.500732,-0.582275,0.693359
0.533447,-0.560791,0.864502
0.259521,-0.665527,0.700684
0.213379,-0.671143,0.696045
0.236084,-0.679443,0.671875
x,y,z
0.384766,-0.635254,0.863037
0.573486,-0.566650,0.781006
