Batch 1 Live,Batch 2 Dead,Batch 3 Live,Batch 4 Dead,Batch 5 Live,Batch 6 Dead
36,100,34,89,33,76
33,108,45,89,45,84
48,113,58,92,53,86
48,117,58,95,52,90
45,122,57,100,50,120
45,123,50,105,68,143
45,125,50,114,67,155
44,133,68,118,65,159
41,137,67,122,61,159
41,150,62,128,74,167
41,151,62,137,73,170
59,152,60,138,72,176
58,155,79,141,96,178
57,156,78,142,91,179
57,162,77,145,105,180
57,164,76,145,124,180
57,165,76,152,130,181
50,168,72,157,143,182
68,168,70,157,159,186
67,172,87,160,157,186
63,174,85,160,150,187
61,175,84,163,160,193
77,175,83,163,160,194
73,177,83,164,179,194
73,177,82,166,175,197
72,178,81,169,182,199
72,180,81,170,181,200
70,182,99,170,196,201
70,184,95,172,194,201
87,187,95,172,208,207
86,187,93,173,205,216
86,188,93,174,203,217
85,188,90,174,214,217
82,188,108,174,210,218
80,191,103,176,226,219
99,191,102,176,226,219
95,191,100,176,224,220
94,193,100,179,223,222
92,194,100,180,221,223
90,194,100,183,220,223
90,196,117,183,236,224
109,197,116,184,234,225
105,198,114,184,233,225
103,199,112,185,230,227
102,199,112,185,230,227
102,200,112,185,230,229
119,200,111,189,249,230
118,201,126,189,247,231
116,201,123,189,242,234
110,201,123,189,242,236
110,202,139,189,267,243
110,202,138,190,,243
110,204,137,191,,255
129,205,137,191,,
125,205,133,191,,
124,208,133,191,,
139,209,132,192,,
138,210,130,193,,
136,210,146,193,,
133,213,146,194,,
133,213,143,194,,
130,213,140,195,,
130,213,156,195,,
130,214,156,196,,
130,214,155,196,,
130,214,154,196,,
146,215,153,197,,
140,216,151,197,,
140,216,150,199,,
158,217,165,200,,
156,217,164,201,,
155,220,163,202,,
154,220,162,203,,
152,223,161,203,,
150,223,160,203,,
169,224,160,203,,
168,225,178,204,,
166,225,173,204,,
166,226,173,205,,
166,226,172,205,,
161,227,171,206,,
160,227,170,206,,
178,227,170,207,,
176,227,170,207,,
174,227,189,208,,
172,228,189,208,,
170,229,187,208,,
187,230,187,208,,
182,230,187,210,,
180,231,186,210,,
180,232,186,211,,
199,232,185,211,,
195,233,184,212,,
193,233,184,214,,
191,233,183,214,,
190,233,182,215,,
190,234,182,215,,
190,235,195,216,,
208,235,195,216,,
207,235,194,216,,
206,236,193,216,,
205,236,192,216,,
203,236,190,217,,
203,237,208,217,,
202,238,207,217,,
200,240,205,218,,
200,242,205,218,,
200,243,204,219,,
219,243,203,219,,
219,245,202,220,,
219,247,200,220,,
218,247,219,221,,
218,249,218,221,,
218,249,217,221,,
217,254,216,224,,
217,255,211,224,,
216,259,224,224,,
215,260,228,224,,
214,260,227,226,,
214,264,227,226,,
214,266,223,226,,
213,,222,227,,
212,,222,229,,
210,,221,231,,
210,,220,231,,
210,,238,232,,
210,,238,232,,
229,,238,233,,
228,,237,233,,
226,,237,234,,
225,,236,234,,
225,,236,235,,
223,,236,239,,
223,,232,240,,
223,,232,240,,
222,,230,242,,
221,,249,242,,
220,,249,243,,
220,,247,246,,
239,,243,248,,
239,,243,249,,
238,,242,249,,
238,,254,249,,
237,,250,250,,
235,,268,251,,
234,,260,251,,
234,,,254,,
233,,,256,,
233,,,267,,
232,,,,,
231,,,,,
230,,,,,
248,,,,,
247,,,,,
245,,,,,
244,,,,,
243,,,,,
251,,,,,
250,,,,,
