x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0.330566,0.736572,0.731689,0.291748,0.683838,0.65918,0.362061,0.602539,0.69873,0.32959,0.706787,0.599121,0.362061,0.654785,0.657715,0.382568,0.624512,0.673828,0.376465,0.64917,0.655762,0.372559,0.627441,0.672119,0.368408,0.724365,0.598633,0.36499,0.710938,0.599121
0.214355,0.660645,0.701904,0.314209,0.657959,0.675293,0.356934,0.613525,0.704834,0.336182,0.710205,0.620361,0.356201,0.658691,0.644775,0.387695,0.622559,0.678467,0.376221,0.634766,0.664062,0.382812,0.635742,0.668213,0.329346,0.775391,0.633789,0.378418,0.705322,0.622803
0.319824,0.576904,0.7146,0.323486,0.645508,0.677246,0.361572,0.600098,0.714111,0.366699,0.696289,0.630859,0.337402,0.688721,0.710449,0.405518,0.607422,0.751465,0.378662,0.63501,0.671631,0.380371,0.621338,0.671143,0.324219,0.699463,0.571777,0.49292,0.754639,0.494873
0.318848,0.60376,0.729248,0.307129,0.662354,0.682129,0.358643,0.600098,0.709717,0.383301,0.694336,0.6604,0.553711,0.863525,0.687256,0.508789,0.876221,0.817139,0.359131,0.637207,0.695557,0.379883,0.634033,0.667969,0.39624,0.727783,0.597656,0.309082,1.189697,0.550293
0.351318,0.55127,0.768555,0.30957,0.672363,0.676025,0.374268,0.603271,0.750977,0.445068,0.973633,0.810303,0.219727,1.050781,0.60083,0.249268,0.955811,0.672363,0.551514,0.875488,0.716309,0.359131,0.60083,0.740967,0.32251,0.960693,0.566162,-0.17041,0.945557,0.427246
0.418457,0.737793,0.828125,0.320068,0.641846,0.700684,0.399414,0.813477,0.823486,0.222168,1.085693,0.580811,-0.212646,0.756592,0.523193,-0.152588,0.756592,0.596436,0.238037,1.000488,0.64917,0.541992,0.871094,0.799072,0.099365,1.013184,0.563965,-0.414795,0.633301,0.37793
0.264648,0.802002,0.747559,0.307373,0.659424,0.650879,0.167969,1.005371,0.725586,-0.175781,0.794922,0.493408,-0.425293,0.443604,0.49292,-0.414062,0.410889,0.606934,-0.190674,0.728027,0.541992,0.222412,0.992432,0.688232,-0.168945,0.894043,0.487061,-0.598145,0.370605,0.501953
0.066895,0.874023,0.592285,0.322754,0.58252,0.725342,-0.303711,0.612793,0.631836,-0.461426,0.458252,0.512451,-0.519531,0.161865,0.645508,-0.565186,0.143555,0.612549,-0.447998,0.420166,0.591797,-0.298584,0.694092,0.498047,-0.397217,0.492432,0.486816,-0.657227,0.26709,0.599854
-0.371582,0.637451,0.516113,0.457275,0.972412,0.969482,-0.510986,0.193359,0.612305,-0.47168,0.10791,0.655029,-0.657471,0.098877,0.741455,-0.660645,0.214355,0.731934,-0.535889,0.242188,0.616455,-0.481201,0.260498,0.490479,-0.545898,0.235352,0.540771,-0.690674,0.20459,0.661133
-0.630615,0.354004,0.548584,0.171631,1.06665,0.713867,-0.599854,0.031982,0.583252,-0.668213,0.197754,0.689453,-0.64624,-0.005615,0.73584,-0.717529,0.164551,0.645752,-0.627441,0.143311,0.696777,-0.607422,0.187988,0.591064,-0.720947,0.141357,0.743652,-0.750244,0.194092,0.615234
-0.693115,0.105469,0.567139,-0.260254,0.625244,0.559082,-0.665771,0.00708,0.673828,-0.700928,0.071533,0.689209,-0.557129,0.272705,0.539795,-0.620361,-0.150146,0.666748,-0.703369,0.17627,0.728516,-0.743652,0.083496,0.641602,-0.72168,0.212402,0.680176,-0.713867,0.089844,0.726807
-0.782471,0.096924,0.544434,-0.450195,0.250244,0.511963,-0.623047,-0.210938,0.719238,-0.56665,0.085693,0.66626,-0.344482,0.711426,0.544434,-0.478516,0.406006,0.558594,-0.677734,0.073486,0.679443,-0.653076,0.044678,0.601318,-0.618164,0.302246,0.466309,-0.695801,0.278809,0.543945
-0.773682,0.065918,0.616211,-0.63916,0.017822,0.581787,-0.519043,0.261963,0.616211,-0.518066,0.519775,0.49585,-0.089844,0.819336,0.577637,-0.306641,0.853027,0.505371,-0.629395,0.125488,0.696777,-0.59082,0.43335,0.493896,-0.48999,0.688721,0.373047,-0.543457,0.463379,0.333008
-0.700684,0.369385,0.570557,-0.722412,-0.065674,0.686523,-0.253174,0.761963,0.618408,-0.318848,0.662354,0.552734,0.297363,0.925049,0.706299,0.111328,0.990723,0.645996,-0.627441,0.294434,0.48999,-0.397217,0.65918,0.4375,-0.282715,0.883545,0.398682,-0.39917,0.916016,0.374268
-0.506592,0.52417,0.452637,-0.637939,-0.267822,0.658691,0.0625,0.896729,0.695068,0.023926,1.01123,0.682129,0.336182,0.749756,0.750488,0.245117,0.812012,0.71582,-0.420898,0.756592,0.634766,0.092285,0.910889,0.582031,0.01416,1.047119,0.414307,-0.255615,0.863525,0.360352
-0.274902,0.678467,0.539551,-0.608643,0.366699,0.52832,0.217041,0.820557,0.75293,0.161865,0.772461,0.728271,0.355469,0.691162,0.705566,0.360352,0.771484,0.690918,-0.177002,1.002686,0.578857,0.404785,0.993896,0.721436,0.248779,0.933838,0.599121,0.16626,0.939453,0.580322
-0.016602,0.848877,0.701416,-0.37915,0.803467,0.519531,0.298828,0.7229,0.747803,0.337158,0.787842,0.679688,0.378662,0.630615,0.67749,0.361572,0.879395,0.787598,0.018311,0.6604,0.728271,0.307617,0.841064,0.738037,,,,0.296875,0.874756,0.618896
0.134277,0.777832,0.75415,-0.120605,0.871826,0.567627,0.356934,0.636475,0.695557,0.368896,0.787109,0.735596,0.397705,0.603271,0.702148,,,,0.243408,0.88208,0.71582,,,,,,,,,
0.179443,0.657471,0.812256,0.118652,0.834229,0.70752,0.362305,0.596924,0.685791,,,,,,,,,,0.309326,0.705078,0.666016,,,,,,,,,
0.250488,0.613281,0.783691,0.273438,0.797119,0.753418,0.350342,0.658691,0.635986,,,,,,,,,,,,,,,,,,,,,
0.314453,0.585205,0.753418,0.288086,0.700684,0.666016,0.357666,0.669434,0.678467,,,,,,,,,,,,,,,,,,,,,
0.293701,0.584473,0.769531,,,,0.354004,0.617676,0.662842,,,,,,,,,,,,,,,,,,,,,
