x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
-0.053223,0.244629,0.939209,-0.087158,0.223877,0.896973,-0.038574,0.260498,0.96875,-0.020996,0.280518,0.951904,-0.062988,0.154541,0.980713,-0.021484,0.222168,0.976074,-0.032227,0.274902,0.866699,-0.053223,0.425293,0.897461,-0.121582,0.19873,0.966064,-0.12207,0.13208,0.978271,-0.076172,0.208984,0.956055,-0.317383,0.184082,0.947266,-0.428467,0.159424,0.903809,0.051025,0.214111,0.990234,-0.025391,0.163574,0.954834,0.003174,0.124756,0.921387,0.007568,0.231934,0.970459,0.057129,0.211426,0.981689,0.018555,0.167725,0.986816,-0.012695,0.116211,0.97583,0.016846,0.186523,0.988281,0.003418,0.260498,0.935303
-0.106201,0.412354,0.659424,-0.041504,0.791748,0.629395,-0.0271,0.258057,0.985107,-0.068115,0.25415,0.950195,-0.108154,0.419922,0.578125,-0.000732,0.205566,0.981201,-0.17041,0.64209,0.502686,-0.031006,0.436035,0.900146,-0.13623,0.249756,0.929932,-0.128418,0.141113,0.963623,-0.048584,0.415527,0.807373,-0.300537,0.181885,0.944092,-0.407715,0.220215,0.893311,0.044922,0.212158,0.964844,0.055664,0.500488,0.815918,-0.011719,0.675781,0.667969,0.001709,0.245117,0.967285,0.037598,0.188721,0.988525,0.008057,0.19165,0.938721,0.003418,0.433105,0.651855,0.003174,0.159912,0.98584,0.005615,0.690918,0.654541
-0.127197,0.709961,0.304199,-0.110596,1.0979,-0.316162,-0.083496,0.604248,0.723389,0.067139,0.9104,0.588135,-0.053955,0.992432,-0.221924,-0.054932,0.294678,0.870117,-0.14209,0.980225,-0.326416,-0.047852,0.382324,0.851562,-0.17749,0.507324,0.838135,-0.127686,0.188721,0.824219,-0.134277,0.78125,0.494385,-0.287109,0.194336,0.935303,-0.412842,0.168213,0.877441,0.064697,0.202393,0.983643,0.01709,0.89209,0.363281,-0.02832,1.036865,0.085693,0.017578,0.234375,0.980469,0.040283,0.181885,0.973145,-0.054688,0.640381,0.652832,0.010742,1.040039,0.206299,-0.005371,0.122803,0.923584,0.001221,1.011719,0.110352
-0.133301,1.014648,-0.59668,-0.162842,0.589844,-1.038574,-0.178955,0.888916,0.061768,-0.050537,0.940674,-0.236572,-0.069336,0.67627,-0.855713,-0.140137,0.705566,0.51123,-0.074219,0.64209,-0.903564,-0.131104,0.629883,0.423584,-0.199707,0.729736,0.517578,-0.125977,0.726807,0.514404,-0.13208,0.933838,-0.005371,-0.353516,0.209473,0.838867,-0.380371,0.684326,0.599854,0.049072,0.20166,0.983887,-0.000977,1.043945,-0.255127,-0.080322,0.981201,-0.555664,-0.003174,0.213135,0.911865,0.009766,0.12085,0.944336,-0.056396,0.830078,0.186523,-0.022705,0.979492,-0.372314,-0.073975,0.56665,0.606445,-0.011475,0.878174,-0.455078
-0.187256,0.601562,-0.925537,-0.168945,0.319824,-0.986572,-0.150879,0.778076,-0.716309,-0.111328,0.595215,-1.057861,-0.119629,0.38208,-0.994629,-0.145508,0.939453,-0.198486,-0.133057,0.425293,-0.94043,-0.118896,0.831543,-0.460693,-0.15332,0.986816,-0.012207,-0.210449,1.003662,-0.169189,-0.080078,0.88916,-0.481934,-0.416504,0.598145,0.446045,-0.341553,0.907959,0.088379,0.050781,0.216309,0.966797,-0.060303,0.919678,-0.513672,-0.141846,0.620117,-0.74585,0.013184,0.59668,0.689697,0.027588,0.689209,0.691895,0.006104,0.882324,-0.508789,-0.036621,0.742188,-0.811768,-0.07251,1.036377,-0.066895,-0.07373,0.669922,-0.76001
-0.176025,0.401611,-0.956055,-0.12915,0.327148,-1.029297,-0.199463,0.496094,-0.923828,-0.053955,0.379639,-1.069824,-0.099854,0.402588,-0.942139,-0.128174,0.67041,-0.770996,-0.09082,0.403809,-0.906006,-0.101562,0.612793,-1.002197,-0.177979,0.926758,-0.535889,-0.105469,0.754883,-0.713623,-0.102295,0.778809,-0.79248,-0.390137,0.91626,-0.067871,-0.302734,0.996338,-0.522705,0.006348,0.296143,0.873047,-0.0271,0.760986,-0.7229,-0.131592,0.517822,-0.907227,-0.009521,0.971924,0.130371,-0.010498,0.918457,0.200439,-0.024902,0.617676,-0.903076,-0.061523,0.652344,-0.806641,-0.070557,0.82666,-0.585693,-0.074219,0.542725,-0.860107
-0.185547,0.375977,-0.900635,-0.133789,0.283936,-0.976562,-0.173584,0.59668,-0.953125,-0.139648,0.47876,-1.01123,-0.072754,0.626709,-0.856445,-0.130615,0.465332,-0.95166,-0.093994,0.697754,-0.875732,-0.14209,0.447998,-0.992432,-0.162109,0.769287,-0.710938,-0.147461,0.650391,-0.760498,-0.105469,0.629883,-0.770264,-0.385498,1.030273,-0.31665,-0.385986,0.712402,-0.701416,0.000244,0.87793,0.334473,-0.045898,0.720947,-0.734863,-0.133789,0.654785,-0.868896,-0.089844,0.79126,-0.482422,0.014893,1.042725,-0.40625,-0.063477,0.502441,-0.929688,-0.029541,0.762939,-0.69873,-0.076172,0.668457,-0.815674,-0.078125,0.708984,-0.848877
-0.177734,0.846191,-0.82959,-0.146973,0.64624,-0.901367,-0.168457,0.896729,-0.708984,-0.177002,1.018311,-0.657715,-0.085693,1.054688,-0.449707,-0.120361,0.501953,-0.948242,-0.150391,0.943359,-0.452393,-0.083496,0.444824,-0.920654,-0.157959,0.708252,-0.73877,-0.109619,0.65918,-0.880127,-0.112793,0.716309,-0.724609,-0.4646,0.843018,-0.480469,-0.334473,0.677002,-0.713135,-0.048096,0.950928,-0.351074,-0.054443,0.900879,-0.627441,-0.101562,0.843262,-0.608398,-0.069092,0.663574,-0.862549,-0.056152,0.808594,-0.735352,-0.020508,0.640869,-0.822998,-0.000732,0.917725,-0.264404,-0.075684,0.658691,-0.822754,-0.057861,0.855713,-0.480225
-0.236816,1.130127,0.196777,-0.135254,1.317871,0.130859,-0.245117,0.905518,-0.150146,-0.064941,1.14502,0.057129,-0.099121,0.89209,0.229492,-0.116699,0.818359,-0.781006,-0.101318,0.91626,0.289795,-0.126953,0.829834,-0.808105,-0.137939,0.673828,-0.730713,-0.099121,0.639648,-0.812256,-0.140137,0.915771,-0.69751,-0.435059,0.663818,-0.65625,-0.369873,0.627197,-0.68457,-0.080078,0.746582,-0.819824,-0.009033,0.852295,-0.041992,-0.05249,0.922119,-0.004639,-0.054688,0.55542,-0.906982,-0.044434,0.575684,-0.847412,-0.053223,0.904541,-0.582764,0.009521,1.041504,0.353027,-0.070801,0.791504,-0.653076,-0.020752,0.979004,0.040039
0.009277,0.307373,0.78833,-0.038086,-0.018066,0.889404,0.135254,0.408203,0.556396,0.158691,0.491699,0.932861,-0.0896,0.264404,0.813721,-0.164062,0.978516,-0.134521,-0.05127,0.432861,0.725586,-0.082764,0.987061,-0.097168,-0.137451,0.910156,-0.70874,-0.090576,1.136719,-0.638916,-0.218262,1.003418,-0.359863,-0.442871,0.652344,-0.622803,-0.35083,0.670898,-0.712891,-0.097412,0.741943,-0.819092,0.039307,0.793457,0.533203,0.008301,0.760986,0.578369,-0.068848,0.659912,-0.798096,-0.036377,0.836426,-0.68457,-0.024414,0.993652,-0.051758,-0.016113,0.29248,0.7771,-0.038818,0.995117,-0.377197,0.017822,0.6604,0.643555
