x,y,z
0.093262,-0.223877,1.003662
0.083008,-0.165283,1.036865
0.080566,-0.575684,0.373535
0.193848,-0.803223,-0.526611
0.282471,-0.583008,-0.865967
0.305664,-0.562012,-0.867676
0.402832,-1.124268,-0.497803
-0.048828,-0.063477,0.998535
0.103027,-0.159912,0.868652
0.084473,-0.216797,0.912598
0.087891,-0.257080,0.988281
0.083984,-0.315186,0.984375
0.078125,-0.268066,0.908936
0.069824,-0.314697,0.948242
0.075195,-0.307129,0.942627
x,y,z
0.070557,-0.325195,0.940186
0.059326,-0.206055,1.043213
0.058838,-0.804688,-0.117676
0.107666,-0.712891,-0.660156
0.241699,-0.784180,-0.648682
0.274414,-1.013916,-0.489502
0.075195,-0.432617,0.308350
0.050049,0.066650,1.009277
0.094238,-0.107178,0.939453
0.114258,-0.259277,0.979736
0.104248,-0.254150,0.977295
0.098389,-0.257568,0.950195
0.101807,-0.253418,0.950928
0.092529,-0.260742,0.945557
0.090576,-0.296631,0.978516
0.085938,-0.258789,0.944336
0.086182,-0.268799,0.950195
0.088867,-0.273926,0.959961
0.081055,-0.287109,0.958496
0.078125,-0.281006,0.938965
0.092529,-0.279541,0.960938
0.086670,-0.292969,0.954102
x,y,z
0.053955,-0.267578,0.966553
0.066162,-0.275146,0.968262
0.066406,0.083984,1.036133
0.083496,-1.490723,-0.275879
0.072754,-0.965820,-0.298340
0.092041,-0.966553,-0.355225
0.108398,-0.978027,-0.268799
0.086182,-1.114502,0.098145
0.016357,-0.136475,0.909668
0.017578,0.019531,1.010742
0.046143,-0.165771,1.002197
0.032959,-0.213867,0.964600
0.032959,-0.233154,0.971436
0.029541,-0.190186,0.971680
0.040527,-0.205322,0.975586
0.031494,-0.194580,0.978027
x,y,z
0.300781,-0.941895,-0.444336
0.273438,-0.912842,-0.470215
0.248779,-0.900146,-0.086182
0.029297,-0.125000,0.911377
0.163330,-0.128174,0.934082
0.127686,-0.250977,1.009033
0.142334,-0.246826,0.960938
0.143555,-0.273438,0.949707
0.141113,-0.289062,0.942627
0.141113,-0.270020,0.957520
0.134766,-0.281738,0.941162
x,y,z
0.153564,-0.295898,0.962402
0.109375,-0.326660,0.937500
0.140137,-0.138428,0.934814
0.125488,0.151123,0.979004
0.375732,-1.712402,-0.735107
0.281982,-0.873779,-0.535156
0.225586,-0.813232,-0.575928
0.300537,-0.980713,-0.469482
0.233154,-1.039307,-0.130371
0.052979,0.091064,0.797852
0.083984,-0.075439,1.087402
0.127930,-0.128174,1.007812
0.164551,-0.230713,0.930664
0.177979,-0.253662,0.959961
0.175781,-0.261963,0.966553
0.169434,-0.211670,0.939453
x,y,z
0.103271,-0.016602,0.924561
0.553711,-2.372559,-1.169189
0.311279,-0.944824,-0.522217
0.202637,-0.901123,-0.528809
0.262451,-1.082275,-0.457520
0.150879,-1.042480,-0.145020
0.087646,-0.104004,0.924561
0.174561,0.057617,1.000244
0.202637,-0.205078,0.952637
0.179443,-0.166504,0.970459
0.176270,-0.159912,0.964844
0.172607,-0.190186,0.959961
x,y,z
0.161865,-0.176270,0.982422
0.165039,-0.145508,0.976562
0.090088,0.319336,0.978516
0.316895,-1.541016,-0.587891
0.349854,-0.902588,-0.526855
0.269775,-0.835938,-0.535889
0.282227,-0.793457,-0.500977
0.337158,-1.377441,-0.463135
0.101318,0.102295,1.034668
0.219971,-0.197266,0.926514
0.172607,-0.209473,0.954834
0.188965,-0.198486,0.960449
0.190674,-0.209473,0.958496
0.187012,-0.209473,0.972900
x,y,z
0.255859,-0.984375,-0.301025
0.281982,-0.991943,-0.333740
0.291504,-1.296875,-0.155273
0.222656,-0.079102,0.644287
0.137939,0.001221,0.990234
0.218506,-0.196777,0.944580
0.245850,-0.231201,0.950684
0.225830,-0.211914,0.981445
0.229004,-0.221191,0.946045
0.233398,-0.231934,0.905762
0.225342,-0.240723,0.929199
0.232422,-0.232666,0.927246
0.218994,-0.226562,0.969482
x,y,z
0.129395,-0.246338,0.480957
0.257324,-1.132080,-0.489014
0.313721,-0.839111,-0.672363
0.266113,-0.718750,-0.716797
0.270020,-0.755859,-0.734375
0.269775,-0.874512,-0.290771
0.293701,-0.822754,0.171631
0.170410,-0.513184,0.620361
0.093750,-0.235107,0.996826
0.154785,-0.196533,0.987061
0.121826,-0.209717,0.959473
0.142090,-0.234375,0.947510
0.149414,-0.275879,0.938721
x,y,z
0.151367,-0.919922,-0.320068
0.313721,-1.015137,-0.549316
0.275146,-0.900635,-0.562012
0.268311,-0.948242,-0.542236
0.119629,-0.369385,-0.009521
0.169678,-0.258789,0.870117
0.187012,-0.260498,0.952148
0.187988,-0.290039,0.937256
0.197510,-0.262939,0.938232
0.185791,-0.245605,0.927734
x,y,z
0.303223,-0.776611,-0.616211
0.320312,-0.857910,-0.629639
0.327148,-1.051270,-0.239258
0.163086,-0.045410,0.911377
0.185303,-0.223389,0.968750
