x,y,z
-0.087158,0.223877,0.896973
-0.041504,0.791748,0.629395
-0.110596,1.0979,-0.316162
-0.162842,0.589844,-1.038574
-0.168945,0.319824,-0.986572
-0.12915,0.327148,-1.029297
-0.133789,0.283936,-0.976562
-0.146973,0.64624,-0.901367
-0.135254,1.317871,0.130859
-0.038086,-0.018066,0.889404
0.12085,0.280762,0.958496
x,y,z
-0.038574,0.260498,0.96875
-0.0271,0.258057,0.985107
-0.083496,0.604248,0.723389
-0.178955,0.888916,0.061768
-0.150879,0.778076,-0.716309
-0.199463,0.496094,-0.923828
-0.173584,0.59668,-0.953125
-0.168457,0.896729,-0.708984
-0.245117,0.905518,-0.150146
0.135254,0.408203,0.556396
0.041016,0.074707,0.9646
x,y,z
-0.053223,0.244629,0.939209
-0.106201,0.412354,0.659424
-0.127197,0.709961,0.304199
-0.133301,1.014648,-0.59668
-0.187256,0.601562,-0.925537
-0.176025,0.401611,-0.956055
-0.185547,0.375977,-0.900635
-0.177734,0.846191,-0.82959
-0.236816,1.130127,0.196777
0.009277,0.307373,0.78833
-0.142334,0.100586,0.950928
