x,y,z
0.398926,-0.914307,-0.053467
0.403564,-0.958008,-0.076416
0.463135,-0.848633,-0.187256
0.150391,-1.01001,-0.13208
0.154297,-0.90918,0.171875
0.309814,-0.687988,0.267578
0.693359,-0.772705,0.072998
0.900391,-0.829834,-0.051514
0.867676,-0.842773,-0.296631
0.363525,-0.697754,-0.129639
0.339355,-0.839111,-0.048828
0.342529,-0.98999,-0.040771
0.119629,-0.752686,-0.106201
0.158447,-1.000732,0.252441
0.367676,-0.851562,0.361328
0.617676,-0.93042,0.160156
0.720703,-0.903076,0.110596
0.667725,-0.734131,0.01001
0.457031,-0.952393,-0.217529
0.336914,-0.862305,-0.067871
0.194824,-0.885742,0.260986
0.38916,-0.925049,0.220947
0.436523,-0.872314,0.123535
x,y,z
0.393555,-0.947021,-0.223633
0.200928,-0.905762,-0.019043
0.190918,-0.841553,0.216309
0.445801,-0.883545,0.218506
0.657227,-0.94043,0.059082
0.930176,-0.784424,-0.061523
0.670654,-0.808594,-0.271484
0.426758,-0.772217,-0.068848
0.197998,-0.952881,0.063232
0.178955,-1.025391,0.03833
0.213867,-0.89209,0.25415
0.400391,-0.750244,0.324951
0.595215,-0.942383,0.193359
0.67334,-0.893555,0.105469
0.752441,-0.869873,-0.157715
0.503174,-0.77124,-0.063965
0.466064,-0.910645,-0.089111
0.280762,-0.879883,0.117432
0.301514,-0.934326,0.250244
0.429932,-0.880371,0.110107
0.439209,-0.875244,0.118896
x,y,z
0.415283,-0.813232,-0.120361
0.310059,-0.924805,-0.128174
0.202637,-0.922607,0.080322
0.226562,-0.847168,0.167969
0.436035,-0.914551,0.119141
0.634033,-0.968994,0.047119
0.702881,-0.844238,-0.130859
0.630127,-0.809814,-0.078125
0.399414,-0.786377,-0.094238
0.35791,-0.932129,0
0.300049,-0.913818,0.045898
0.308105,-0.966553,0.067627
0.310303,-0.919189,0.016846
0.250977,-0.813232,0.129395
0.445801,-0.89917,0.225342
0.459229,-0.919922,0.110596
0.659424,-0.797119,0.142578
0.816406,-0.776123,-0.030518
0.739014,-0.789307,-0.186768
0.473633,-0.810059,-0.19873
0.317139,-0.940674,-0.066162
0.355225,-0.911133,0.075439
0.44751,-0.877197,0.080322
0.47583,-0.865234,-0.018555
x,y,z
0.476807,-0.856445,-0.036133
0.481934,-0.852295,-0.052734
0.521484,-0.850342,-0.175537
0.355713,-0.90625,-0.190674
0.228516,-0.910645,0.002686
0.235107,-0.806885,0.224854
0.561279,-0.914795,0.128174
0.642822,-0.966797,0.032715
0.691895,-0.848633,-0.007568
0.540771,-0.758789,-0.11499
0.338379,-0.890625,-0.170898
0.2229,-0.933838,0.078857
0.367432,-0.934814,-0.142334
0.233154,-0.962891,0.072021
0.258789,-1.01123,0.190674
0.488525,-0.805664,0.188232
0.632568,-0.824951,0.138672
0.743164,-0.875732,-0.057373
0.588135,-0.803711,-0.112061
0.422119,-0.95166,-0.101074
